seqnum,StationNumber,Latitude,Longitude,Elevation,StationName                             ,Who_entered,use_index,source_seqnum,country_seqnum
1400148,25717,47.1439,17.6483,294,Városlőd                                ,7,1,116,205
1400149,25717,47.1439,17.6483,294,Városlőd                                ,7,1,116,205
1400150,25718,47.1014,17.5406,226,Ajka                                    ,7,1,116,205
1400151,25801,47.0031,17.825,325,Hidegkút                                ,7,1,116,205
1400152,25801,47.0031,17.825,325,Hidegkút                                ,7,1,116,205
1400153,25801,47.0031,17.825,325,Hidegkút                                ,7,1,116,205
1400154,25821,47.1019,17.9311,255,Veszprém                                ,7,1,116,205
1400155,25821,47.1019,17.9311,255,Veszprém                                ,7,1,116,205
1400156,26100,46.8411,17.0925,125,Kehidakustány                           ,7,1,116,205
1400157,26119,46.9606,17.1725,146,Óhíd                                    ,7,1,116,205
1400158,26119,46.9606,17.1725,146,Óhíd                                    ,7,1,116,205
1400159,26208,46.8881,17.435,128,Tapolca                                 ,7,1,116,205
1400160,26208,46.8881,17.435,128,Tapolca                                 ,7,1,116,205
1400161,26209,46.8342,17.4342,129,Hegymagas                               ,7,1,116,205
1400162,26213,46.825,17.3664,162,Nemesvita                               ,7,1,116,205
1400163,26329,46.8367,17.5497,141,Salföld                                 ,7,1,116,205
1400164,26329,46.8367,17.5497,141,Salföld                                 ,7,1,116,205
1400165,26330,46.9783,17.7006,270,Nagyvázsony                             ,7,1,116,205
1400166,26421,46.9419,17.7589,275,Vászoly                                 ,7,1,116,205
1400167,26602,46.6744,17.3869,110,Balatonújlak                            ,7,1,116,205
1400168,26602,46.6744,17.3869,110,Balatonújlak                            ,7,1,116,205
1400169,26605,46.7886,17.4967,130,Badacsony Badacsonytomaj                ,7,1,116,205
1400170,26605,46.7886,17.4967,130,Badacsony Badacsonytomaj                ,7,1,116,205
1400171,26605,46.7886,17.4967,130,Badacsony Badacsonytomaj                ,7,1,116,205
1400172,26611,46.7881,17.2783,145,Gyenesdiás                              ,7,1,116,205
1400173,26611,46.7881,17.2783,145,Gyenesdiás                              ,7,1,116,205
1400174,26706,46.7767,17.6475,106,Balatonboglár                           ,7,1,116,205
1400175,26719,46.7819,17.7,114,Balatonlelle                            ,7,1,116,205
1400176,26826,46.7825,17.9486,209,Bálványos                               ,7,1,116,205
1400177,26826,46.7825,17.9486,209,Bálványos                               ,7,1,116,205
1400178,26826,46.7825,17.9486,209,Bálványos                               ,7,1,116,205
1400179,26829,46.7828,17.8442,116,Szólád                                  ,7,1,116,205
1400180,26829,46.7828,17.8442,116,Szólád                                  ,7,1,116,205
1400181,27106,46.5489,17.1844,111,Zalakomár                               ,7,1,116,205
1400182,27106,46.5489,17.1844,111,Zalakomár                               ,7,1,116,205
1400183,27108,46.6328,17.175,105,Balatonmagyaród gátőrház                ,7,1,116,205
1400184,27225,46.5675,17.4103,131,Marcali                                 ,7,1,116,205
1400185,27310,46.5822,17.645,156,Somogyvár                               ,7,1,116,205
1400186,27416,46.5053,17.8142,169,Mernye                                  ,7,1,116,205
1400187,27416,46.5053,17.8142,169,Mernye                                  ,7,1,116,205
1400188,27416,46.5053,17.8142,169,Mernye                                  ,7,1,116,205
1400189,27416,46.5053,17.8142,169,Mernye                                  ,7,1,116,205
1400190,27600,46.4128,17.2894,161,Vése                                    ,7,1,116,205
1400191,27600,46.4128,17.2894,161,Vése                                    ,7,1,116,205
1400192,27607,46.3361,17.4597,158,Kutas                                   ,7,1,116,205
1400193,27617,46.4911,17.425,140,Mesztegnyő                              ,7,1,116,205
1400194,27617,46.4911,17.425,140,Mesztegnyő                              ,7,1,116,205
1400195,27706,46.3903,17.5108,155.3,Nagybajom                               ,7,1,116,205
1400196,27706,46.3903,17.5108,155.3,Nagybajom                               ,7,1,116,205
1400197,27707,46.3611,17.6633,155,Kaposfő                                 ,7,1,116,205
1400198,27814,46.4717,17.8989,163,Magyaratád                              ,7,1,116,205
1400199,28204,46.2308,17.3633,128,Nagyatád Tallián utca                   ,7,1,116,205
1400200,28308,46.3006,17.5572,168,Csököly                                 ,7,1,116,205
1400201,28405,46.2369,17.85,172,Bőszénfa                                ,7,1,116,205
